issuer_name,esg_score_zscore
Nomura Research Institute Ltd.,1.6974143396989578
Nordea Bank Abp,0.43267449397351637
Nordex SE,-0.30509041603299075
NORDSON CORPORATION,-0.14699793531731067
NORDSTROM INC.,0.2745820132578363
NORFOLK SOUTHERN CORPORATION,-0.5158803903205644
Norsk Hydro ASA,0.906951936120557
NORTHERN STAR RESOURCES LTD,0.5380694811173032
NORTHERN TRUST CORPORATION,0.3799770004016232
NORTHLAND POWER INC.,0.2745820132578363
Northrop Grumman Corporation,0.5380694811173032
NORWEGIAN AIR SHUTTLE ASA,-0.4631828967486708
NORWEGIAN CRUISE LINE HOLDINGS LTD.,-0.30509041603299075
NOS SGPS S.A.,0.11648953254215624
Novartis AG,0.3799770004016232
NOVAVAX INC.,-2.0441077039054725
NOV INC.,-0.041602948173523814
NOVOCURE LIMITED,0.06379203897026305
NOVO NORDISK A/S,0.9596494296924503
NOVOZYMES A/S,0.9596494296924503
NOW INC.,0.16918702611404945
NRG ENERGY INC.,-1.6752252489022188
NSK Ltd.,-0.19969542888920389
NTN CORPORATION,0.43267449397351637
NTT DATA GROUP CORPORATION,-0.041602948173523814
NUANCE COMMUNICATIONS INC.,-0.3577879096048844
NUCOR CORPORATION,0.906951936120557
NUFARM LIMITED,0.43267449397351637
Nutrien Ltd.,0.906951936120557
NVENT ELECTRIC PLC,-0.5158803903205644
NVIDIA CORPORATION,1.2231368975519172
NVR Inc.,-0.4104854031767776
NWS HOLDINGS LIMITED,0.06379203897026305
NXP Semiconductors N.V.,1.3812293782675977
NYRSTAR NV,-1.9914102103335791
OBAYASHI CORPORATION,0.6961619618329833
OBIC Co.Ltd.,-1.6752252489022188
OCADO GROUP PLC,0.5907669746891969
OCCIDENTAL PETROLEUM CORPORATION,-0.19969542888920389
OCI N.V.,0.16918702611404945
OC Oerlikon Corporation AG Pfaeffikon,0.906951936120557
Odakyu Electric Railway Co.Ltd.,0.2218845196859431
Oersted A/S,1.6974143396989578
OGE ENERGY CORP.,-0.30509041603299075
Oji Holdings Corporation,-0.6212753774643514
OKTA INC.,-0.30509041603299075
